ISim log file
Running: C:\Users\86139\Desktop\courses\co\P6\CPU\mips_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/86139/Desktop/courses/co/P6/CPU/mips_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  38@00003000: $ 1 <= 00000003
                  42@00003004: $ 2 <= 00000001
                  46@00003008: $ 3 <= 00000004
                  50@0000300c: $ 2 <= 00000007
                  54@00003010: $ 4 <= 00000003
                  58@00003014: $ 5 <= 00000007
                  62@00003018: $ 1 <= fffffffd
                  66@0000301c: $ 1 <= ffff0000
                  70@00003020: $ 1 <= ffffffff
                  74@00003024: $ 2 <= ffffffff
                  78@00003028: $ 3 <= fffffffe
                  82@0000302c: $ 1 <= ffff0000
                  86@00003030: $ 1 <= fffffff9
                  90@00003034: $ 2 <= fffffff9
                  94@00003038: $ 4 <= fffffff9
                  98@0000303c: $ 5 <= ffffffff
                 102@00003040: $ 1 <= 00000001
                 106@00003044: $ 2 <= 00000002
                 110@00003048: $ 3 <= 00000001
                 114@0000304c: $ 3 <= 00000000
                 118@00003050: $ 1 <= ffff0000
                 122@00003054: $ 1 <= ffffffff
                 126@00003058: $ 2 <= ffffffff
                 130@0000305c: $ 3 <= 00000000
                 134@00003060: $ 3 <= 00000000
                 138@00003064: $ 1 <= 12340000
                 142@00003068: $ 2 <= 00005678
                 146@0000306c: $ 1 <= 12345678
                 150@00003074: *00000004 <= 12345678
                 150@00003070: $ 2 <= 00000004
                 154@00003078: *00000008 <= 00005678
                 158@0000307c: *0000000c <= 00000078
                 166@00003080: $ 3 <= 12345678
                 178@00003084: $ 3 <= 00005678
                 190@00003088: $ 3 <= 00000078
                 194@0000308c: $ 1 <= 0000000a
                 198@00003090: $ 2 <= 00000005
                 234@00003098: $ 3 <= 00000000
                 238@0000309c: $ 4 <= 00000032
                 270@000030a4: $ 3 <= 00000000
                 274@000030a8: $ 4 <= 00000032
                 286@000030b4: $ 1 <= ffff0000
                 290@000030b8: $ 1 <= fffffff6
                 294@000030bc: $ 1 <= fffffff6
                 298@000030c0: $ 1 <= ffff0000
                 302@000030c4: $ 1 <= fffffffb
                 306@000030c8: $ 2 <= fffffffb
                 342@000030d0: $ 3 <= 00000000
                 346@000030d4: $ 4 <= 00000019
                 378@000030dc: $ 3 <= fffffff6
                 382@000030e0: $ 4 <= 00000019
                 394@000030ec: $ 1 <= 0000000a
                 398@000030f0: $ 2 <= 00000005
                 454@000030f8: $ 3 <= 00000000
                 458@000030fc: $ 4 <= 00000002
                 510@00003104: $ 3 <= 00000000
                 514@00003108: $ 4 <= 00000002
                 526@00003114: $ 1 <= ffff0000
                 530@00003118: $ 1 <= fffffff6
                 534@0000311c: $ 1 <= fffffff6
                 538@00003120: $ 1 <= ffff0000
                 542@00003124: $ 1 <= fffffffb
                 546@00003128: $ 2 <= fffffffb
                 602@00003130: $ 3 <= 00000000
                 606@00003134: $ 4 <= 00000001
                 658@0000313c: $ 3 <= 00000000
                 662@00003140: $ 4 <= 00000001
